Region,Abbrev,Date,PCP,TAVG,PDSI,PHDI,TMIN,TMAX
West,W,2014-01,0.53,44.80,-6.13,-6.13,31.90,57.6
West,W,2014-02,2.86,45.40,-6.36,-6.36,34.40,56.5
West,W,2014-03,2.35,49.30,-6.46,-6.46,37.00,61.6
West,W,2014-04,0.90,54.10,-6.43,-6.43,40.40,67.8
West,W,2014-05,0.54,61.60,-7.13,-7.13,47.20,76.1
West,W,2014-06,0.08,69.80,-8.10,-8.10,54.10,85.4
West,W,2014-07,0.45,77.40,-8.36,-8.36,62.60,92.2
West,W,2014-08,0.88,72.70,-7.27,-7.27,58.60,86.8
West,W,2014-09,0.91,69.50,-6.22,-6.22,55.10,83.8
West,W,2014-10,0.67,60.70,-6.09,-6.09,46.40,75
West,W,2014-11,1.38,48.30,-5.92,-5.92,36.50,60.1
West,W,2014-12,4.25,42.20,-4.85,-4.85,33.80,50.6
West,W,2015-01,0.59,44.20,-5.58,-5.58,33.10,55.2
West,W,2015-02,1.92,48.90,-5.82,-5.82,36.70,61.2
West,W,2015-03,0.62,53.10,-6.74,-6.74,39.40,66.7
West,W,2015-04,0.91,53.00,-6.66,-6.66,39.00,67
West,W,2015-05,1.42,58.60,-6.15,-6.15,46.20,71
West,W,2015-06,0.36,73.00,-6.60,-6.60,57.80,88.1
West,W,2015-07,0.89,73.30,-6.26,-6.26,59.40,87.2
West,W,2015-08,0.25,74.90,-6.04,-6.04,59.90,89.9
West,W,2015-09,0.33,69.60,-5.73,-5.73,54.80,84.3
West,W,2015-10,1.28,61.40,-5.23,-5.23,48.90,73.8
West,W,2015-11,1.63,42.80,-4.80,-4.80,31.50,54.1
West,W,2015-12,3.31,37.50,-4.03,-4.03,27.90,47.2
West,W,2016-01,4.47,39.00,-2.77,-2.77,30.20,47.8
West,W,2016-02,0.91,46.10,-3.20,-3.20,33.60,58.6
West,W,2016-03,3.28,49.10,-2.45,-2.45,37.40,60.7
West,W,2016-04,1.55,54.70,-2.23,-2.23,42.10,67.3
West,W,2016-05,0.86,59.30,-1.93,-1.93,46.50,72
West,W,2016-06,0.34,71.90,-1.79,-1.79,56.40,87.4
West,W,2016-07,0.12,75.50,-2.24,-2.24,59.70,91.4
West,W,2016-08,0.17,74.50,-2.52,-2.52,58.90,90.2
West,W,2016-09,0.31,66.50,-2.52,-2.52,51.50,81.5
West,W,2016-10,2.81,57.50,1.23,-1.03,45.20,69.7
West,W,2016-11,1.47,48.80,0.75,-1.28,37.10,60.5
West,W,2016-12,3.45,38.10,0.99,-0.83,28.00,48.2
West,W,2017-01,7.02,36.80,3.04,3.04,28.30,45.2
West,W,2017-02,5.31,43.50,4.15,4.15,34.90,52.1
West,W,2017-03,1.90,50.20,-0.36,3.36,37.90,62.4
West,W,2017-04,2.08,52.10,0.42,3.43,39.70,64.5
West,W,2017-05,0.47,60.80,-0.23,2.85,46.70,75
West,W,2017-06,0.37,71.10,-0.25,2.51,55.90,86.2
West,W,2017-07,0.31,77.70,-0.67,1.81,62.40,93.1
West,W,2017-08,0.42,76.10,-0.89,1.33,61.40,90.7
West,W,2017-09,0.65,66.50,-0.69,1.30,52.80,80.2
