Region,Date,PCP,TAVG,PDSI,PHDI,TMIN,TMAX
Northeast,2014-01,2.82,18.6,1.56,1.56,9.1,28.2
Northeast,2014-02,3.3,21.0,1.77,1.77,11.2,30.8
Northeast,2014-03,3.35,26.0,1.65,1.65,15.0,37.0
Northeast,2014-04,3.74,44.6,1.59,1.59,32.8,56.4
Northeast,2014-05,4.66,56.9,1.73,1.73,45.7,68.1
Northeast,2014-06,4.59,65.7,1.9,1.9,54.4,76.9
Northeast,2014-07,5.46,68.9,2.63,2.63,58.3,79.4
Northeast,2014-08,3.74,66.2,2.57,2.57,55.5,77.0
Northeast,2014-09,1.93,60.9,-0.71,1.59,49.7,72.1
Northeast,2014-10,4.52,51.9,0.4,1.82,42.9,61.0
Northeast,2014-11,3.06,36.0,0.24,1.52,27.8,44.1
Northeast,2014-12,4.19,31.6,0.66,1.81,25.2,37.9
Northeast,2015-01,2.91,18.7,-0.07,1.55,9.0,28.4
Northeast,2015-02,1.9,12.1,-0.59,0.86,1.2,23.0
Northeast,2015-03,2.45,27.8,-0.97,-0.97,17.2,38.5
Northeast,2015-04,3.2,44.6,-1.08,-1.08,33.3,55.9
Northeast,2015-05,2.46,61.2,-1.97,-1.97,48.2,74.2
Northeast,2015-06,7.57,63.8,2.06,2.06,53.9,73.8
Northeast,2015-07,3.79,69.0,-0.03,1.82,58.3,79.8
Northeast,2015-08,3.02,68.8,-0.55,1.11,57.7,79.9
Northeast,2015-09,4.51,65.4,-0.45,1.03,53.8,77.0
Northeast,2015-10,3.93,48.4,-0.15,1.19,37.9,58.8
Northeast,2015-11,2.21,43.1,-0.98,-0.98,33.3,52.9
Northeast,2015-12,4.53,39.4,-0.54,-0.54,32.1,46.8
Northeast,2016-01,2.24,24.7,-0.9,-0.9,16.0,33.4
Northeast,2016-02,4.36,28.1,1.05,1.05,18.3,38.0
Northeast,2016-03,2.5,38.8,-0.77,-0.77,28.1,49.5
Northeast,2016-04,2.57,43.4,-1.19,-1.19,31.2,55.5
Northeast,2016-05,3.26,56.2,-1.38,-1.38,45.0,67.4
Northeast,2016-06,3.09,65.1,-1.7,-1.7,53.2,77.0
Northeast,2016-07,3.79,71.2,-1.77,-1.77,59.9,82.6
Northeast,2016-08,4.03,71.4,-1.88,-1.88,60.4,82.4
Northeast,2016-09,2.89,63.8,-2.45,-2.45,52.3,75.4
Northeast,2016-10,4.36,51.4,-2.19,-2.19,41.5,61.4
Northeast,2016-11,2.49,41.0,-2.82,-2.82,31.6,50.4
Northeast,2016-12,3.73,28.3,0.2,-2.33,20.4,36.2
Northeast,2017-01,3.54,28.9,0.45,-1.82,21.6,36.2
Northeast,2017-02,2.59,31.4,0.31,-1.72,21.6,41.2
Northeast,2017-03,3.46,30.3,0.41,-1.41,20.7,40.0
Northeast,2017-04,4.4,49.7,0.5,-1.14,38.9,60.5
Northeast,2017-05,5.88,54.9,1.45,1.45,45.0,64.9
Northeast,2017-06,4.38,65.0,1.58,1.58,53.9,76.1
Northeast,2017-07,5.02,69.3,2.07,2.07,59.1,79.6
Northeast,2017-08,3.57,66.4,1.92,1.92,55.5,77.4
Northeast,2017-09,2.52,63.3,1.11,1.11,52.3,74.3
Northeast,2017-10,5.83,55.4,1.82,1.82,44.5,66.4
Northeast,2017-11,2.56,37.4,1.21,1.21,28.1,46.6
Northeast,2017-12,2.49,24.2,0.64,0.64,16.4,32.0
Northeast,2018-01,3.68,21.0,0.91,0.91,11.5,30.4
Northeast,2018-02,4.09,30.8,1.69,1.69,21.1,40.5
Northeast,2018-03,3.17,31.9,1.49,1.49,23.6,40.2
Northeast,2018-04,4.28,40.6,2.02,2.02,30.5,50.6
Northeast,2018-05,3.63,60.4,1.42,1.42,48.0,72.9
Northeast,2018-06,4.09,64.2,1.43,1.43,53.1,75.3
Northeast,2018-07,5.55,71.5,2.09,2.09,60.1,82.8
Northeast,2018-08,5.28,71.3,2.64,2.64,61.7,80.8
Northeast,2018-09,6.23,64.2,3.66,3.66,55.1,73.2
Northeast,2018-10,4.52,49.0,4.14,4.14,40.8,57.2
Northeast,2018-11,6.57,34.6,5.46,5.46,27.9,41.3
Northeast,2018-12,3.97,29.3,5.23,5.23,21.5,37.2
