Region,Date,    PCP,   TAVG,   PDSI,   PHDI,   TMIN,   TMAX
104,201401,3.21,40.0,2.52,2.52,28.3,51.7
104,201402,3.91,48.7,2.21,2.21,37.6,59.9
104,201403,4.64,51.6,2.09,2.09,39.4,63.7
104,201404,6.24,62.6,2.92,2.92,50.3,75.0
104,201405,4.15,70.7,0.03,2.65,58.8,82.6
104,201406,4.41,77.3,-0.17,2.2,66.8,87.8
104,201407,4.75,78.0,-0.53,1.59,67.9,88.1
104,201408,4.32,77.9,-0.94,0.97,67.7,88.2
104,201409,5.14,74.6,-0.76,0.95,65.5,83.7
104,201410,3.1,65.0,-0.82,0.71,52.7,77.4
104,201411,3.79,49.9,-0.35,1.03,37.8,62.1
104,201412,4.29,50.3,-0.03,1.21,40.2,60.5
104,201501,3.51,44.7,-0.14,0.97,34.1,55.3
104,201502,3.69,41.8,-0.09,0.91,30.7,52.9
104,201503,3.19,57.0,-0.82,-0.82,45.8,68.2
104,201504,5.25,65.4,-0.31,-0.31,54.6,76.1
104,201505,2.61,71.8,-1.05,-1.05,59.9,83.7
104,201506,4.96,78.7,-1.18,-1.18,68.1,89.3
104,201507,5.17,80.4,-1.61,-1.61,70.3,90.6
104,201508,5.4,78.5,-1.58,-1.58,68.3,88.7
104,201509,4.75,74.2,-1.5,-1.5,64.7,83.6
104,201510,4.72,64.6,0.53,-0.82,53.9,75.2
104,201511,5.82,59.8,1.46,1.46,49.8,69.7
104,201512,7.27,58.5,2.51,2.51,49.0,68.1
104,201601,3.88,43.8,2.32,2.32,33.7,54.0
104,201602,4.85,48.8,2.43,2.43,37.8,59.7
104,201603,3.16,60.1,-0.92,1.26,48.3,71.9
104,201604,3.51,63.0,-0.99,0.97,50.8,75.3
104,201605,4.39,69.6,-0.66,1.1,58.4,80.6
104,201606,4.74,78.2,-0.67,0.9,67.1,89.3
104,201607,4.26,81.7,-1.46,-1.46,71.1,92.3
104,201608,4.87,80.8,-1.85,-1.85,71.2,90.5
104,201609,5.25,77.0,-1.78,-1.78,66.6,87.4
104,201610,2.89,67.2,-2.06,-2.06,54.8,79.5
104,201611,1.14,56.9,-3.07,-3.07,43.4,70.5
104,201612,4.03,50.9,-3.31,-3.31,40.6,61.1
104,201701,5.72,51.5,-2.38,-2.38,41.2,61.8
104,201702,1.93,55.5,-3.32,-3.32,42.7,68.4
104,201703,2.75,56.3,-3.87,-3.87,43.8,68.8
104,201704,4.33,66.7,-3.53,-3.53,54.6,78.9
104,201705,5.79,70.5,0.8,-2.37,59.0,82.0
104,201706,7.39,75.9,2.01,-0.83,66.4,85.4
104,201707,5.33,80.2,1.68,-0.86,70.3,90.1
104,201708,5.72,78.4,1.8,1.8,69.2,87.6
104,201709,4.81,73.6,1.89,1.89,63.3,84.0
104,201710,4.56,66.6,2.28,2.28,55.5,77.7
104,201711,1.26,55.7,-0.56,1.49,43.8,67.6
104,201712,2.71,48.2,-0.81,1.03,38.2,58.2
104,201801,2.9,41.7,-1.04,0.6,30.2,53.2
104,201802,4.04,57.5,-1.28,-1.28,47.2,67.7
104,201803,3.37,52.8,-1.61,-1.61,41.1,64.4
104,201804,4.64,60.2,0.5,-0.95,47.5,72.9
104,201805,7.03,73.5,1.57,1.57,62.8,84.1
104,201806,5.07,78.5,1.44,1.44,68.3,88.8
104,201807,6.22,79.5,1.45,1.45,69.8,89.1
104,201808,5.94,79.0,1.62,1.62,69.5,88.6
104,201809,6.2,78.6,1.92,1.92,69.5,87.6
104,201810,3.7,67.3,1.92,1.92,57.0,77.7
104,201811,5.58,53.0,3.1,3.1,43.0,63.0
104,201812,7.99,49.7,4.61,4.61,40.4,59.0
104,201901,4.41,47.0,4.35,4.35,36.8,57.1
